"Season","Team","IP","R","ER","ERA","FIP","AVG","WHIP","BABIP","K/9","BB/9","HR/9","K/BB","LOB%","GB%","GB/FB","HR/FB","Swing%","Barrel%","vFA (pi)","WAR"
"2008","TOR","1446.2","610","561","3.49","3.81",".240","1.24",".284","7.37","2.91","0.83","2.54","74.8%","46.6%","1.38","9.3%","45.8%","","92.5","22.3"
"2008","LAD","1447.1","648","592","3.68","3.67",".247","1.29",".295","7.49","2.98","0.76","2.51","72.6%","49.6%","1.60","9.3%","45.3%","","92.9","20.0"
"2008","TBR","1457.2","671","618","3.82","4.22",".242","1.29",".277","7.06","3.25","1.02","2.17","74.0%","40.8%","1.00","9.3%","46.5%","","92.6","19.2"
"2008","MIL","1455.2","689","626","3.87","4.34",".251","1.33",".285","6.86","3.26","1.08","2.10","74.5%","45.4%","1.33","11.7%","45.2%","","92.2","14.6"
"2008","CHC","1450.2","671","624","3.87","4.09",".238","1.29",".281","7.84","3.40","0.99","2.31","74.0%","41.6%","1.07","9.8%","45.5%","","91.5","20.6"
"2008","PHI","1449.2","680","627","3.89","4.30",".256","1.36",".292","6.71","3.31","0.99","2.03","74.8%","44.8%","1.34","10.8%","44.9%","","91.2","14.9"
"2008","ARI","1434.2","706","636","3.99","3.84",".251","1.29",".297","7.71","2.83","0.92","2.73","70.9%","45.3%","1.29","9.9%","46.3%","","91.4","22.9"
"2008","LAA","1451.1","697","645","4.00","4.12",".258","1.32",".296","6.86","2.83","0.99","2.42","73.0%","44.3%","1.21","9.8%","45.2%","","92.4","17.5"
"2008","BOS","1446.1","694","645","4.01","4.09",".246","1.33",".289","7.37","3.41","0.91","2.16","72.6%","43.5%","1.17","9.2%","45.6%","","92.2","18.4"
"2008","OAK","1435.0","690","640","4.01","4.19",".249","1.35",".287","6.65","3.61","0.85","1.84","72.2%","41.2%","1.06","8.0%","44.1%","","90.7","14.6"
"2008","NYM","1464.1","715","663","4.07","4.32",".249","1.37",".289","7.26","3.63","1.00","2.00","73.6%","43.1%","1.22","10.5%","45.0%","","92.2","13.0"
"2008","CHW","1457.2","729","665","4.11","4.00",".258","1.32",".298","7.08","2.84","0.96","2.49","71.0%","45.5%","1.31","10.0%","47.4%","","92.2","24.1"
"2008","MIN","1459.0","745","677","4.18","4.30",".271","1.35",".301","6.14","2.50","1.13","2.45","72.0%","42.0%","1.11","10.2%","48.3%","","92.2","12.8"
"2008","STL","1454.0","725","679","4.20","4.40",".265","1.38",".295","5.92","3.07","1.01","1.93","72.9%","45.3%","1.34","10.3%","45.1%","","92.4","9.1"
"2008","NYY","1441.2","727","686","4.28","3.96",".262","1.36",".307","7.12","3.05","0.89","2.33","71.0%","45.7%","1.31","9.3%","44.3%","","91.7","16.9"
"2008","SFG","1442.0","759","701","4.38","4.24",".252","1.43",".300","7.74","4.07","0.92","1.90","71.4%","39.2%","1.00","8.8%","44.5%","","91.9","14.8"
"2008","HOU","1425.1","743","695","4.39","4.53",".260","1.36",".293","6.91","3.11","1.24","2.23","72.8%","43.3%","1.17","12.1%","46.9%","","91.6","11.4"
"2008","SDP","1458.1","764","714","4.41","4.33",".258","1.39",".294","6.79","3.46","1.02","1.96","70.9%","42.4%","1.16","10.1%","45.4%","","90.3","12.7"
"2008","FLA","1435.1","767","708","4.44","4.37",".253","1.40",".290","7.07","3.67","1.01","1.92","70.6%","41.7%","1.11","9.8%","45.4%","","91.9","15.1"
"2008","CLE","1437.0","761","712","4.46","4.33",".270","1.37",".301","6.18","2.78","1.06","2.22","70.7%","44.7%","1.27","10.5%","47.8%","","90.8","13.2"
"2008","ATL","1440.2","778","715","4.47","4.35",".256","1.41",".293","6.72","3.66","0.97","1.84","69.7%","48.3%","1.55","11.4%","43.9%","","90.8","7.9"
"2008","KCR","1445.2","781","723","4.50","4.21",".260","1.38",".298","6.75","3.21","0.99","2.11","69.1%","41.9%","1.09","9.2%","45.6%","","92.3","16.7"
"2008","CIN","1442.1","800","729","4.55","4.54",".269","1.46",".312","7.66","3.48","1.25","2.20","72.5%","42.7%","1.18","12.7%","44.7%","","92.2","9.1"
"2008","WSN","1434.0","825","743","4.66","4.71",".264","1.45",".296","6.67","3.69","1.19","1.81","70.1%","42.4%","1.17","11.6%","44.6%","","91.2","7.9"
"2008","SEA","1435.1","811","754","4.73","4.59",".271","1.51",".307","6.37","3.93","1.01","1.62","70.7%","44.7%","1.25","9.8%","44.8%","","91.5","9.4"
"2008","COL","1446.0","822","766","4.77","4.30",".270","1.46",".309","6.48","3.50","0.92","1.85","68.5%","46.8%","1.44","10.0%","45.3%","","91.8","19.5"
"2008","DET","1445.0","857","788","4.91","4.79",".270","1.51",".302","6.17","4.01","1.07","1.54","69.4%","42.0%","1.09","9.7%","44.6%","","92.5","8.3"
"2008","PIT","1455.0","884","824","5.10","4.84",".280","1.57",".311","5.96","4.06","1.09","1.47","69.5%","44.0%","1.27","10.8%","45.2%","","92.3","10.3"
"2008","BAL","1422.0","869","814","5.15","5.14",".272","1.56",".298","5.84","4.35","1.16","1.34","70.1%","44.6%","1.21","10.7%","43.7%","","91.7","3.4"
"2008","TEX","1442.0","967","860","5.37","4.83",".284","1.58",".315","6.01","3.90","1.10","1.54","65.6%","43.2%","1.20","10.2%","44.6%","","92.4","9.2"
