"#","LVL","YEAR","TEAM","IP","PA","R","ERA","FIP","cFIP","cFIP_START","cFIP_RELIEF","FIP_MINUS_ERA","SO9","BB9","SO/BB","HR9","oppAVG","oppOBP","oppSLG","oppOPS","WHIP","DRA","DRA-","DRA_START","DRA_RELIEF","PWARP"
"1","MLB","2015","ANA","1,440.7","6,096","675","3.94","4.02","105","0","0","0.08","7.6","2.9","0.00","1.04",".000",".000",".000",".000","1.26","4.06","95","0.00","0.00","15.33"
"2","MLB","2015","MIN","1,443.0","6,139","700","4.07","4.06","105","0","0","-0.01","6.5","2.6","0.00","1.02",".000",".000",".000",".000","1.33","4.68","109","0.00","0.00","4.64"
"3","MLB","2015","NYA","1,457.7","6,191","698","4.03","3.93","99","0","0","-0.10","8.5","2.9","0.00","1.12",".000",".000",".000",".000","1.30","4.33","101","0.00","0.00","10.69"
"4","MLB","2015","NYN","1,462.7","6,046","613","3.43","3.55","90","0","0","0.10","8.2","2.4","0.00","0.94",".000",".000",".000",".000","1.18","3.25","76","0.00","0.00","29.86"
"5","MLB","2015","OAK","1,444.7","6,128","729","4.14","4.10","102","0","0","-0.07","7.3","3.0","0.00","1.07",".000",".000",".000",".000","1.30","4.29","100","0.00","0.00","11.23"
"6","MLB","2015","PHI","1,436.3","6,332","809","4.69","4.43","106","0","0","-0.27","7.2","3.1","0.00","1.20",".000",".000",".000",".000","1.45","5.00","117","0.00","0.00","-1.07"
"7","MLB","2015","PIT","1,489.7","6,215","596","3.21","3.38","90","0","0","0.16","8.1","2.7","0.00","0.66",".000",".000",".000",".000","1.24","3.76","88","0.00","0.00","21.03"
"8","MLB","2015","SDN","1,440.3","6,093","731","4.09","3.95","96","0","0","-0.14","8.7","3.2","0.00","1.07",".000",".000",".000",".000","1.31","4.17","97","0.00","0.00","13.43"
"9","MLB","2015","SEA","1,463.0","6,223","726","4.16","4.10","102","0","0","-0.06","7.9","3.0","0.00","1.11",".000",".000",".000",".000","1.31","4.35","102","0.00","0.00","10.43"
"10","MLB","2015","SFN","1,444.3","6,009","627","3.72","3.94","97","0","0","0.20","7.3","2.7","0.00","0.97",".000",".000",".000",".000","1.23","3.77","88","0.00","0.00","20.31"
"11","MLB","2015","SLN","1,464.7","6,134","525","2.92","3.49","91","0","0","0.57","8.2","2.9","0.00","0.75",".000",".000",".000",".000","1.25","3.48","81","0.00","0.00","25.79"
"12","MLB","2015","TBA","1,453.3","6,069","642","3.74","3.88","103","0","0","0.14","8.4","3.0","0.00","1.08",".000",".000",".000",".000","1.23","3.78","88","0.00","0.00","20.02"
"13","MLB","2015","TEX","1,442.7","6,215","733","4.24","4.31","113","0","0","0.05","6.8","3.2","0.00","1.07",".000",".000",".000",".000","1.36","5.53","129","0.00","0.00","-10.05"
"14","MLB","2015","TOR","1,441.0","5,984","670","3.80","4.06","104","0","0","0.25","7.0","2.5","0.00","1.08",".000",".000",".000",".000","1.21","4.09","95","0.00","0.00","14.91"
"15","MLB","2015","MIL","1,435.0","6,148","737","4.28","4.19","103","0","0","-0.09","7.9","3.2","0.00","1.10",".000",".000",".000",".000","1.36","4.73","111","0.00","0.00","3.54"
"16","MLB","2015","MIA","1,427.0","6,050","678","4.02","4.00","101","0","0","-0.03","7.3","3.2","0.00","0.89",".000",".000",".000",".000","1.32","4.06","95","0.00","0.00","15.08"
"17","MLB","2015","ARI","1,466.7","6,257","713","4.04","4.23","104","0","0","0.18","7.5","3.1","0.00","1.12",".000",".000",".000",".000","1.33","4.55","106","0.00","0.00","6.72"
"18","MLB","2015","ATL","1,425.3","6,156","760","4.41","4.36","107","0","0","-0.05","7.2","3.5","0.00","1.07",".000",".000",".000",".000","1.41","4.85","113","0.00","0.00","1.73"
"19","MLB","2015","BAL","1,434.7","6,085","693","4.05","4.08","106","0","0","0.03","7.7","3.0","0.00","1.09",".000",".000",".000",".000","1.32","5.02","117","0.00","0.00","-1.37"
"20","MLB","2015","BOS","1,448.3","6,224","753","4.31","4.13","105","0","0","-0.21","7.6","3.0","0.00","1.11",".000",".000",".000",".000","1.36","4.74","111","0.00","0.00","3.60"
"21","MLB","2015","CHA","1,452.7","6,181","701","3.98","3.78","96","0","0","-0.20","8.4","2.9","0.00","1.00",".000",".000",".000",".000","1.32","4.40","103","0.00","0.00","9.84"
"22","MLB","2015","CHN","1,461.3","5,997","608","3.36","3.32","86","0","0","-0.04","8.8","2.5","0.00","0.83",".000",".000",".000",".000","1.15","3.18","74","0.00","0.00","30.82"
"23","MLB","2015","CIN","1,453.3","6,271","754","4.33","4.26","103","0","0","-0.09","7.8","3.4","0.00","1.10",".000",".000",".000",".000","1.36","4.45","104","0.00","0.00","8.39"
"24","MLB","2015","CLE","1,432.7","5,904","640","3.67","3.59","92","0","0","-0.10","8.8","2.7","0.00","1.01",".000",".000",".000",".000","1.19","3.66","86","0.00","0.00","22.14"
"25","MLB","2015","COL","1,426.3","6,308","844","5.04","4.58","111","0","0","-0.46","7.0","3.7","0.00","1.15",".000",".000",".000",".000","1.51","5.94","139","0.00","0.00","-17.08"
"26","MLB","2015","DET","1,447.0","6,188","803","4.64","4.42","108","0","0","-0.22","6.8","3.0","0.00","1.20",".000",".000",".000",".000","1.37","5.17","121","0.00","0.00","-3.75"
"27","MLB","2015","HOU","1,441.0","5,965","618","3.57","3.63","96","0","0","0.05","8.0","2.6","0.00","0.92",".000",".000",".000",".000","1.20","3.69","86","0.00","0.00","21.90"
"28","MLB","2015","KCA","1,452.0","6,112","641","3.73","4.01","104","0","0","0.27","7.2","3.0","0.00","0.96",".000",".000",".000",".000","1.28","4.36","102","0.00","0.00","10.08"
"29","MLB","2015","LAN","1,445.7","5,932","595","3.44","3.43","85","0","0","-0.03","8.7","2.5","0.00","0.90",".000",".000",".000",".000","1.18","3.59","84","0.00","0.00","23.57"
"30","MLB","2015","WAS","1,434.7","5,975","635","3.62","3.48","90","0","0","-0.14","8.4","2.3","0.00","0.91",".000",".000",".000",".000","1.21","3.58","84","0.00","0.00","23.52"
